,CustomerID,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,target
0,0,95,retired,divorced,primary,no,2282.0,no,no,telephone,21.0,apr,207.0,17.0,-1.0,0.0,yes
1,1,95,retired,married,secondary,no,0.0,no,no,telephone,1.0,oct,215.0,1.0,-1.0,0.0,no
2,2,94,retired,divorced,secondary,no,1234.0,no,no,cellular,3.0,mar,212.0,1.0,-1.0,0.0,no
3,3,93,retired,married,unknown,no,775.0,no,no,cellular,22.0,jul,860.0,2.0,177.0,7.0,yes
4,4,93,retired,married,unknown,no,775.0,no,no,cellular,4.0,aug,476.0,2.0,13.0,9.0,yes
5,5,92,retired,married,unknown,no,775.0,no,no,cellular,22.0,oct,313.0,3.0,-1.0,0.0,yes
6,6,92,retired,married,unknown,no,775.0,no,no,cellular,26.0,jan,164.0,4.0,96.0,3.0,yes
7,7,90,retired,divorced,secondary,no,1.0,no,no,cellular,13.0,feb,152.0,3.0,-1.0,0.0,yes
8,8,90,retired,divorced,primary,no,712.0,no,no,telephone,3.0,mar,557.0,1.0,-1.0,0.0,yes
9,9,89,retired,married,tertiary,no,553.0,no,no,telephone,19.0,aug,2027.0,5.0,-1.0,0.0,no
10,10,89,retired,divorced,primary,no,1323.0,no,no,telephone,29.0,dec,207.0,4.0,189.0,1.0,no
11,11,89,retired,married,primary,no,0.0,no,no,telephone,27.0,sep,157.0,5.0,-1.0,0.0,no
12,12,88,retired,married,primary,no,648.0,no,no,telephone,3.0,sep,318.0,1.0,-1.0,0.0,no
13,13,88,retired,married,secondary,no,433.0,no,no,telephone,15.0,sep,161.0,1.0,274.0,1.0,no
14,14,87,retired,married,primary,no,230.0,no,no,cellular,30.0,oct,144.0,1.0,-1.0,0.0,yes
15,15,87,retired,divorced,primary,no,6746.0,no,no,telephone,21.0,oct,749.0,1.0,-1.0,0.0,yes
16,16,87,retired,married,primary,no,230.0,no,no,cellular,30.0,oct,144.0,1.0,-1.0,0.0,yes
18,18,87,retired,married,primary,no,2190.0,no,no,telephone,12.0,jan,512.0,2.0,-1.0,0.0,yes
19,19,86,retired,married,secondary,no,1503.0,no,no,telephone,18.0,mar,165.0,3.0,101.0,1.0,no
20,20,86,retired,married,primary,no,0.0,no,no,cellular,15.0,apr,141.0,12.0,-1.0,0.0,no
21,21,86,retired,divorced,unknown,no,0.0,no,no,telephone,26.0,aug,189.0,1.0,-1.0,0.0,yes
22,22,86,retired,divorced,unknown,no,157.0,no,no,telephone,7.0,sep,147.0,1.0,-1.0,0.0,no
23,23,86,retired,single,unknown,no,614.0,no,no,telephone,9.0,dec,595.0,1.0,-1.0,0.0,yes
24,24,86,retired,married,unknown,no,1817.0,no,no,cellular,16.0,mar,272.0,3.0,-1.0,0.0,no
25,25,86,retired,married,unknown,no,1503.0,no,no,telephone,18.0,mar,165.0,3.0,101.0,1.0,no
26,26,86,retired,married,unknown,no,5236.0,no,no,telephone,1.0,apr,558.0,2.0,-1.0,0.0,yes
27,27,86,retired,married,unknown,no,1255.0,no,no,telephone,14.0,jul,247.0,1.0,180.0,3.0,yes
28,28,86,retired,married,unknown,no,1255.0,no,no,cellular,14.0,oct,192.0,2.0,92.0,4.0,no
29,29,85,retired,married,unknown,no,12114.0,no,no,telephone,12.0,feb,165.0,2.0,-1.0,0.0,yes
30,30,85,retired,divorced,unknown,no,7613.0,no,no,cellular,18.0,feb,355.0,3.0,-1.0,0.0,yes
31,31,85,retired,married,unknown,no,98.0,no,no,cellular,30.0,apr,416.0,1.0,-1.0,0.0,yes
32,32,85,retired,married,unknown,no,1934.0,no,no,telephone,12.0,jan,140.0,1.0,-1.0,0.0,no
33,33,85,retired,married,unknown,no,1255.0,no,no,cellular,15.0,jan,233.0,3.0,-1.0,0.0,yes
34,34,84,retired,divorced,unknown,no,639.0,no,no,telephone,18.0,may,353.0,3.0,-1.0,0.0,yes
35,35,84,retired,married,unknown,no,1702.0,no,no,telephone,26.0,aug,185.0,1.0,-1.0,0.0,no
36,36,84,entrepreneur,married,unknown,no,0.0,no,no,telephone,30.0,sep,992.0,2.0,-1.0,0.0,yes
